post_id,date,platform,brand,content_format,reach,impressions,likes,comments,shares,saves
1,2025-11-14,Instagram,Aurora,Image,19590,22075,1164,64,98,238
2,2025-11-14,TikTok,Nimbus,Video,10702,18077,1106,47,180,89
3,2025-11-14,TikTok,Nimbus,Video,12802,18567,1382,63,148,134
4,2025-11-15,Instagram,Aurora,Reel,35496,51441,2810,157,659,820
5,2025-11-15,Instagram,Aurora,Story,21153,28296,523,45,96,113
6,2025-11-15,Instagram,Nimbus,Story,12293,15042,334,21,45,78
7,2025-11-15,TikTok,Nimbus,LiveStream,12219,17265,925,92,119,58
8,2025-11-15,TikTok,Nimbus,LiveStream,4703,6943,293,33,34,21
9,2025-11-16,Instagram,Nimbus,Story,25509,41119,849,38,94,119
10,2025-11-16,TikTok,Vela,LiveStream,60167,83952,5427,607,426,303
11,2025-11-16,TikTok,Vela,LiveStream,43089,53674,3171,331,390,218
12,2025-11-17,Instagram,Nimbus,Story,5893,7467,198,11,29,21
13,2025-11-18,TikTok,Aurora,LiveStream,18199,25850,1145,174,178,92
14,2025-11-18,TikTok,Nimbus,LiveStream,4889,5615,271,43,29,18
15,2025-11-18,TikTok,Nimbus,LiveStream,9382,15641,691,72,64,33
16,2025-11-18,Instagram,Vela,Image,14554,22028,904,75,64,154
17,2025-11-18,TikTok,Vela,LiveStream,65539,85058,4660,640,425,271
18,2025-11-19,Instagram,Aurora,Image,27863,33241,2030,112,119,259
19,2025-11-19,TikTok,Aurora,LiveStream,15853,26182,811,197,97,75
20,2025-11-19,Instagram,Nimbus,Story,11647,17227,447,24,46,74
21,2025-11-19,Instagram,Vela,Carousel,29624,48063,2016,172,337,590
22,2025-11-19,TikTok,Vela,Video,51242,67783,5778,313,588,494
23,2025-11-20,Instagram,Aurora,Image,31243,47880,2103,134,227,486
24,2025-11-20,Instagram,Nimbus,Story,20798,26996,484,31,81,92
25,2025-11-20,TikTok,Nimbus,LiveStream,12215,17857,976,134,82,51
26,2025-11-21,Instagram,Aurora,Carousel,22491,26163,1634,136,242,348
27,2025-11-21,Instagram,Nimbus,Story,9477,14722,207,22,35,39
28,2025-11-21,TikTok,Nimbus,LiveStream,17562,24989,902,124,153,50
29,2025-11-22,TikTok,Aurora,LiveStream,16533,21199,1276,176,161,78
30,2025-11-22,Instagram,Nimbus,Story,10373,16148,254,17,53,55
31,2025-11-22,TikTok,Nimbus,LiveStream,15162,21633,767,116,110,72
32,2025-11-22,TikTok,Vela,LiveStream,41476,64756,2763,470,361,152
33,2025-11-23,Instagram,Nimbus,Reel,20922,24436,2385,131,366,450
34,2025-11-23,TikTok,Vela,Video,17234,24120,1570,66,242,183
35,2025-11-23,TikTok,Vela,Video,24586,29998,1777,89,349,190
36,2025-11-24,Instagram,Aurora,Reel,22809,27588,1982,92,443,354
37,2025-11-25,TikTok,Aurora,Video,22049,28802,1466,142,301,236
38,2025-11-25,TikTok,Aurora,LiveStream,42452,47399,2757,337,257,172
39,2025-11-25,Instagram,Nimbus,Reel,24568,36908,2410,132,427,372
40,2025-11-25,Instagram,Vela,Image,24065,33412,1289,117,174,237
41,2025-11-26,Instagram,Aurora,Image,13692,17578,807,45,62,193
42,2025-11-26,Instagram,Nimbus,Reel,19454,24686,2102,104,356,383
43,2025-11-26,Instagram,Vela,Image,46589,58531,2896,203,232,652
44,2025-11-26,Instagram,Vela,Story,46008,52452,1100,87,139,209
45,2025-11-27,Instagram,Aurora,Story,8634,11558,333,18,35,42
46,2025-11-27,Instagram,Aurora,Story,13808,21804,448,21,68,71
47,2025-11-27,Instagram,Nimbus,Carousel,25712,32683,2291,127,190,455
48,2025-11-27,Instagram,Vela,Story,37760,49822,1331,54,116,227
49,2025-11-27,TikTok,Vela,LiveStream,18467,23625,1446,148,153,88
50,2025-11-28,Instagram,Aurora,Image,24833,39955,1061,121,180,322
51,2025-11-28,TikTok,Aurora,LiveStream,14135,21908,1208,138,137,69
52,2025-11-28,Instagram,Nimbus,Story,20845,25499,577,54,104,128
53,2025-11-28,TikTok,Nimbus,LiveStream,3361,4427,246,31,23,16
54,2025-11-28,Instagram,Vela,Story,40840,56947,1232,100,142,193
55,2025-11-28,Instagram,Vela,Image,43939,62894,2980,199,288,507
56,2025-11-28,TikTok,Vela,Video,31872,36407,3539,155,369,373
57,2025-11-29,Instagram,Aurora,Carousel,17416,22087,1234,74,201,367
58,2025-11-29,TikTok,Aurora,LiveStream,30429,36330,1829,266,315,150
59,2025-11-29,Instagram,Nimbus,Story,25576,42438,979,64,125,121
60,2025-11-29,TikTok,Nimbus,Video,7358,11953,779,40,101,58
61,2025-11-29,TikTok,Nimbus,LiveStream,16745,19620,951,196,146,77
62,2025-11-29,Instagram,Vela,Reel,20096,33175,2060,124,263,430
63,2025-11-29,TikTok,Vela,LiveStream,31961,52510,2851,231,237,90
64,2025-11-30,TikTok,Aurora,LiveStream,46450,58368,3095,416,363,152
65,2025-11-30,Instagram,Nimbus,Story,20487,29737,585,31,81,78
66,2025-11-30,TikTok,Nimbus,Video,9532,16014,968,42,106,76
67,2025-11-30,TikTok,Nimbus,LiveStream,9665,12320,799,86,93,39
68,2025-11-30,Instagram,Vela,Story,17023,24283,561,31,54,73
69,2025-11-30,TikTok,Vela,LiveStream,59846,98869,3673,482,457,174
70,2025-12-01,Instagram,Aurora,Reel,32997,41693,2807,148,595,536
71,2025-12-01,Instagram,Aurora,Carousel,21256,25398,1195,94,191,444
72,2025-12-01,Instagram,Nimbus,Image,10680,12189,498,32,78,95
73,2025-12-01,Instagram,Nimbus,Image,17417,23403,748,83,126,256
74,2025-12-01,Instagram,Vela,Story,42478,64870,1540,80,127,248
75,2025-12-02,Instagram,Aurora,Carousel,21694,29432,1817,135,207,398
76,2025-12-02,Instagram,Aurora,Carousel,36980,56727,2823,170,326,828
77,2025-12-02,TikTok,Nimbus,LiveStream,3800,5997,219,46,28,18
78,2025-12-03,Instagram,Aurora,Image,20425,29953,1592,62,111,251
79,2025-12-03,TikTok,Aurora,Video,24508,37002,1694,106,333,240
80,2025-12-03,TikTok,Nimbus,LiveStream,3241,5432,221,29,27,15
81,2025-12-03,Instagram,Vela,Reel,18198,24636,1740,70,256,286
82,2025-12-04,Instagram,Aurora,Carousel,32653,40180,2345,174,391,913
83,2025-12-04,Instagram,Nimbus,Carousel,19936,28351,1787,135,246,379
84,2025-12-04,TikTok,Nimbus,Video,16203,27503,1783,90,242,148
85,2025-12-05,Instagram,Aurora,Story,8470,11826,205,16,29,45
86,2025-12-05,Instagram,Nimbus,Image,7516,11805,461,32,45,75
87,2025-12-05,Instagram,Vela,Story,39763,64605,1113,67,127,230
88,2025-12-06,Instagram,Nimbus,Reel,12104,16362,1144,50,222,276
89,2025-12-06,Instagram,Vela,Reel,26699,41563,2232,101,379,556
90,2025-12-07,Instagram,Aurora,Carousel,18893,26095,1228,131,144,426
91,2025-12-07,TikTok,Aurora,Video,37201,43162,4210,239,610,315
92,2025-12-07,Instagram,Nimbus,Reel,18441,23437,1907,84,316,341
93,2025-12-07,Instagram,Vela,Carousel,28805,46925,2634,187,373,626
94,2025-12-07,Instagram,Vela,Image,14134,16914,683,62,102,156
95,2025-12-08,TikTok,Aurora,LiveStream,42735,63986,2576,337,265,202
96,2025-12-08,Instagram,Nimbus,Reel,19265,26375,2273,81,311,281
97,2025-12-08,TikTok,Vela,Video,21981,26371,1509,103,227,179
98,2025-12-09,Instagram,Aurora,Carousel,26135,40371,1709,161,243,419
99,2025-12-09,Instagram,Nimbus,Story,13169,19225,467,25,44,49
100,2025-12-09,Instagram,Vela,Reel,42213,54575,3609,255,765,952
101,2025-12-10,Instagram,Aurora,Story,27072,33672,773,41,99,124
102,2025-12-10,Instagram,Vela,Reel,29680,47105,2223,123,366,674
103,2025-12-11,Instagram,Aurora,Image,38548,56624,1761,140,271,420
104,2025-12-11,Instagram,Nimbus,Reel,8388,13531,734,45,112,117
105,2025-12-11,TikTok,Nimbus,Video,7009,9586,784,33,80,76
